,nose_scaled_x,nose_scaled_y,nose_score,left_eye_scaled_x,left_eye_scaled_y,left_eye_score,right_eye_scaled_x,right_eye_scaled_y,right_eye_score,left_ear_scaled_x,left_ear_scaled_y,left_ear_score,right_ear_scaled_x,right_ear_scaled_y,right_ear_score,left_shoulder_scaled_x,left_shoulder_scaled_y,left_shoulder_score,right_shoulder_scaled_x,right_shoulder_scaled_y,right_shoulder_score,left_elbow_scaled_x,left_elbow_scaled_y,left_elbow_score,right_elbow_scaled_x,right_elbow_scaled_y,right_elbow_score,left_wrist_scaled_x,left_wrist_scaled_y,left_wrist_score,right_wrist_scaled_x,right_wrist_scaled_y,right_wrist_score,left_hip_scaled_x,left_hip_scaled_y,left_hip_score,right_hip_scaled_x,right_hip_scaled_y,right_hip_score,left_knee_scaled_x,left_knee_scaled_y,left_knee_score,right_knee_scaled_x,right_knee_scaled_y,right_knee_score,left_ankle_scaled_x,left_ankle_scaled_y,left_ankle_score,right_ankle_scaled_x,right_ankle_scaled_y,right_ankle_score,pose
./dataset-for-classification/paripurna-navasana/7ef89ad4433e9e5af2218d2c870845a44f994b18a123852e79c585f77bdc1488.png,0.5583457,0.041067764,1.9498888,0.54062045,0.00102669,1.943505,0.51255536,0.0,2.7504885,0.3042836,0.028747424,0.3387881,0.3028065,0.028747424,0.7645554,0.1802068,0.27002054,0.08891302,0.29394388,0.31314173,0.22992909,0.6011816,0.43839842,0.06139358,0.61004436,0.65605754,0.78246945,0.986706,0.41478443,0.21532245,0.9807975,0.4250514,0.48231745,0.44017726,0.89425063,0.0590697,0.62481534,0.8583163,0.021110382,0.0,1.0,0.10618003,0.9852289,0.46509248,0.057829,0.99556863,0.4075976,0.09165555,1.0,0.4075976,0.08348928,38
./dataset-for-classification/padmasana/2ba9fd144da5dee7636bac100b1961875f69e66e0e4007ceba31ea32d40ff0b5.jpeg,0.4919871,0.03225808,1.8577875,0.5400641,0.0015360862,1.2659767,0.4487179,0.0,1.4987701,0.5993589,0.026113689,1.6981969,0.39423072,0.010752693,1.3237416,0.7003205,0.2903226,0.5520221,0.29647434,0.28725037,0.74898595,0.81089747,0.6144393,0.8160711,0.18429486,0.61290324,0.85985273,1.0,0.8740399,0.63770026,0.0,0.85867894,0.8830234,0.61858964,0.8141321,0.41162997,0.37179482,0.8248848,0.41104493,0.9326923,1.0,0.099261194,0.06730768,0.9831029,0.14304937,0.47435892,0.95545304,0.1389575,0.3301282,0.8264208,0.22189924,37
./dataset-for-classification/upavistha-konasana/105c894c324470bffd7517867d5ac97db8dd8765bd787b0c4b36f1aadf069c1e.png,0.5964215,0.031531543,0.9720643,0.63817096,0.0,1.9636992,0.554672,0.0,4.430774,0.6819086,0.015765771,0.92154527,0.5149106,0.024774775,0.9465018,0.7892643,0.34234235,0.7456613,0.42743537,0.33558556,0.61656,0.7892643,0.72072065,0.7090419,0.39363816,0.722973,1.0775301,0.9642147,0.8558558,0.11483371,0.13121274,0.8536035,0.28381944,0.7355864,0.8536035,0.18100795,0.5188867,0.86711705,0.21880965,1.0,1.0,0.19803284,0.053677946,1.0,0.042947352,0.6759442,1.0,0.07873728,0.0,0.8986486,0.047239706,60
./dataset-for-classification/marjaryasana/8dc6474628fdf057f89bc360f1275070ae7bf5b4b17433c50543e663ee26680a.png,0.9725713,0.20583718,0.27033302,0.9897143,0.16897084,0.21627606,0.9657143,0.16897084,0.1735213,0.9428571,0.0,0.038559772,0.99657136,0.20276497,0.032490905,0.91885704,0.06298004,0.0748886,0.8971427,0.102918595,0.2257795,0.968,0.60368663,0.33471322,0.95771426,0.59907836,0.48123115,0.99999994,0.99999994,0.1768203,0.004571423,0.9293396,0.23544353,0.38971424,0.31336403,0.09560865,0.3908571,0.31490016,0.059948176,0.42171425,0.9447004,0.2720045,0.3668571,0.30414748,0.32832092,0.41371423,0.9600614,0.11640695,0.0,0.906298,0.20886897,33
./dataset-for-classification/urdhva-prasarita-eka-padasana/157976074d7a676da7623d971725c399ec46656350936d278bf46eb09a775475.png,0.5688889,0.7857764,0.6017702,0.7244444,0.82220304,0.10684694,0.76,0.8213356,0.153943,0.8266666,0.85862976,0.11836454,1.0,0.82220304,0.0714027,0.19555554,0.661752,0.10308396,0.9377779,0.7207286,0.20145027,0.106666654,0.6851692,0.2720481,0.9111111,0.86123174,0.510986,0.031111151,0.0,0.57900196,0.91999984,1.0,0.29941684,0.3555555,0.4952299,0.17728242,0.45777777,0.48048574,0.08771174,0.093333334,0.6825673,0.35774702,0.0,0.20208153,0.16731273,0.053333342,0.88464874,0.4299368,0.0355556,0.0,0.2971492,63
./dataset-for-classification/vrksasana/e7be7398b4416723fb9cceea2062b6e3e2143aefc098e3ae051444996e48020e.png,0.3410405,0.16605167,2.6218684,0.39884394,0.15129153,0.80078864,0.28034684,0.150369,0.96921456,0.48843935,0.18450187,1.7743714,0.20231216,0.18173434,0.8821068,0.5722544,0.28597784,0.4925036,0.09248555,0.28597784,0.46947828,0.7514452,0.106088564,0.98981434,0.0,0.10701108,1.0033064,0.4479769,0.0,0.6254568,0.2630058,0.00461255,0.5937771,0.5722544,0.5654982,0.27689484,0.21965319,0.60055345,0.27350375,1.0000001,0.70571953,0.2567184,0.33236995,0.82656825,0.409004,0.46531793,0.6605166,0.37574384,0.4364162,0.99999994,0.62322414,81
./dataset-for-classification/supta-baddha-konasana/626113ed4580932bf96353e0634fa2cd57e2e769f87a8dc2454df79b71dc346b.png,0.062753044,0.35188866,0.5881508,0.04858298,0.3856859,0.17530641,0.0465587,0.43339962,0.2641144,0.0,0.63419485,0.27631018,0.041497983,0.6302187,0.25776723,0.28441292,0.3836978,0.084785976,0.24089065,0.7415506,0.21285401,0.46153837,0.99999994,0.47088706,0.45748985,0.99602395,0.48140505,0.80364364,0.57057655,0.14808871,0.82085013,0.5864811,0.15145734,0.7985829,0.36978132,0.064237714,0.6973683,0.7693836,0.08299378,0.88360316,0.12524849,0.23712784,0.99999994,0.0,0.20211172,0.84412944,0.39363816,0.08413994,0.8431173,0.6163022,0.13845678,53
./dataset-for-classification/chaturanga-dandasana/92a8922dc501830a0a026a58697b6ea7de716a490848884e0ba976e2b103829a.png,0.94685465,0.44793713,0.74849725,0.9815617,0.4223969,0.8943033,0.95444685,0.39882123,1.5591404,0.8568329,0.1198428,0.8015698,0.8590022,0.1198428,1.4475096,0.82537955,0.0,0.14417498,0.6789587,0.20235759,0.19397008,0.93492395,0.46561885,0.5953311,0.6822126,0.6188605,0.5013903,1.0,0.7092339,0.8459292,0.7819956,1.0,0.5700557,0.3329718,0.42043227,0.066728055,0.27114964,0.22789788,0.10451338,0.0,0.42829078,0.12124811,0.07809113,0.44204324,0.13716272,0.994577,0.7072692,0.49249625,0.770065,1.0,0.08958179,19
./dataset-for-classification/bitilasana/a7c08c39a9e162cd02b41bd03d64354cb15111c50bade8784b6513ba284a7fa6.png,1.0,0.05255474,0.64695287,0.9478673,0.0014598668,0.5974328,0.93996847,0.0,1.6025186,0.8009479,0.049635038,0.64630014,0.80726707,0.049635038,0.9349565,0.63033175,0.21021897,0.111151226,0.66192734,0.2540146,0.27921015,0.7393365,0.67153275,0.2547333,0.7409164,0.68613136,0.7210052,0.7440759,1.0,0.1775025,0.74249613,1.0,0.29916498,0.037914693,0.43211678,0.067135766,0.039494485,0.43649635,0.10907621,0.0,0.3927007,0.14733414,0.004739344,0.38978097,0.19096778,0.018957347,0.95474446,0.062282264,0.7519748,1.0,0.3442798,16
./dataset-for-classification/vasisthasana/543fc84b695f73b0206c49c56f3c569663e63e3fd762eec033439cf8caf2798c.png,0.97222227,0.40083218,1.4003092,1.0,0.4160887,1.4405637,1.0,0.39944524,1.1998985,0.98090273,0.5034674,1.4191198,0.9895833,0.5034674,0.65389067,0.8350695,0.65325934,0.41983944,0.8107638,0.3800277,0.5474501,0.85590273,0.83633834,0.978373,0.79166657,0.1886269,1.3463705,0.8819445,0.99999994,0.88360935,0.82812506,0.0,1.0111248,0.36805552,0.6699029,0.24352941,0.25173616,0.5672676,0.15008907,0.041666687,0.88765603,0.41316214,0.0,0.46463245,0.77432775,0.17708337,0.7115117,0.48269445,0.16319445,0.69625515,0.38724154,73
